"","dynamicColors","mergedColors"
"WBP1L","turquoise","turquoise"
"WBP2","black","black"
"WBP2NL","grey","grey"
"WBP4","black","black"
"WDFY1","turquoise","turquoise"
"WDFY2","turquoise","turquoise"
"WDFY3","grey","grey"
"WDFY4","grey","grey"
"WDHD1","cyan","cyan"
"WDPCP","blue","black"
"WDR1","grey","grey"
"WDR11","blue","black"
"WDR12","green","black"
"WDR13","brown","pink"
"WDR17","grey","grey"
"WDR18","magenta","pink"
"WDR19","grey","grey"
"WDR20","lightcyan","lightcyan"
"WDR24","brown","pink"
"WDR25","grey","grey"
"WDR26","tan","tan"
"WDR27","yellow","black"
"WDR3","green","black"
"WDR31","turquoise","turquoise"
"WDR33","blue","black"
"WDR34","pink","pink"
"WDR35","turquoise","turquoise"
"WDR36","red","black"
"WDR37","tan","tan"
"WDR38","grey","grey"
"WDR4","pink","pink"
"WDR41","black","black"
"WDR43","green","black"
"WDR44","blue","black"
"WDR45","brown","pink"
"WDR45B","grey","grey"
"WDR46","pink","pink"
"WDR47","blue","black"
